1680 22364160 22364160 1680 8.1
1690 22497280 22497280 1690 12.5
1700 22630400 22630400 1700 14.0
1710 22763520 22763520 1710 6.8
1720 22896640 22896640 1720 9.7
1730 23029760 23029760 1730 2.7
1740 23162880 23162880 1740 2.7
1750 23296000 23296000 1750 8.3
1760 23429120 23429120 1760 13.6
1770 23562240 23562240 1770 10.4
1780 23695360 23695360 1780 2.9
1790 23828480 23828480 1790 10.0
1800 23961600 23961600 1800 7.8
1810 24094720 24094720 1810 7.0
1820 24227840 24227840 1820 6.5
1830 24360960 24360960 1830 5.2
1840 24494080 24494080 1840 12.2
1850 24627200 24627200 1850 3.9
1860 24760320 24760320 1860 13.4
1870 24893440 24893440 1870 3.7
1880 25026560 25026560 1880 12.6
1890 25159680 25159680 1890 10.3
1900 25292800 25292800 1900 3.9
1910 25425920 25425920 1910 4.6
1920 25559040 25559040 1920 7.5
1930 25692160 25692160 1930 14.1
1940 25825280 25825280 1940 16.1
1950 25958400 25958400 1950 6.7
1960 26091520 26091520 1960 7.8
1970 26224640 26224640 1970 10.5
1980 26357760 26357760 1980 9.5
1990 26490880 26490880 1990 10.8
2000 26624000 26624000 2000 5.2
2010 26757120 26757120 2010 7.7
2020 26890240 26890240 2020 15.1
2030 27023360 27023360 2030 10.6
2040 27156480 27156480 2040 15.0
2050 27289600 27289600 2050 16.3
2060 27422720 27422720 2060 17.7
2070 27555840 27555840 2070 15.1
2080 27688960 27688960 2080 5.5
2090 27822080 27822080 2090 8.0
2100 27955200 27955200 2100 10.5
2110 28088320 28088320 2110 14.0
2120 28221440 28221440 2120 4.1
2130 28354560 28354560 2130 7.8
2140 28487680 28487680 2140 6.6
2150 28620800 28620800 2150 6.6
2160 28753920 28753920 2160 7.1
2170 28887040 28887040 2170 15.7
2180 29020160 29020160 2180 10.3
2190 29153280 29153280 2190 19.4
2200 29286400 29286400 2200 0.7
2210 29419520 29419520 2210 7.4
2220 29552640 29552640 2220 8.9
2230 29685760 29685760 2230 7.1
2240 29818880 29818880 2240 11.9
2250 29952000 29952000 2250 8.6
2260 30085120 30085120 2260 6.9
2270 30218240 30218240 2270 9.5
2280 30351360 30351360 2280 15.0
2290 30484480 30484480 2290 11.8
2300 30617600 30617600 2300 10.7
2310 30750720 30750720 2310 6.5
2320 30883840 30883840 2320 12.2
2330 31016960 31016960 2330 16.5
2340 31150080 31150080 2340 3.9
2350 31283200 31283200 2350 9.3
2360 31416320 31416320 2360 17.6
2370 31549440 31549440 2370 12.3
2380 31682560 31682560 2380 8.2
2390 31815680 31815680 2390 14.5
